ticker,date,period_ending,estimate,reported,surprise,surprise%
MSI,2021-05-06,2021-03,1.62,1.87,0.25,15.43
CRL,2021-05-04,2021-03,2.19,2.53,0.34,15.53
CBSH,2021-04-15,2021-03,0.96,1.11,0.15,15.63
ESI,2021-04-28,2021-03,0.32,0.37,0.05,15.63
UGI,2021-05-05,2021-03,1.72,1.99,0.27,15.7
HAIN,2021-05-06,2021-03,0.38,0.44,0.06,15.79
GGG,2021-04-21,2021-03,0.5,0.58,0.08,16
JBHT,2021-04-15,2021-03,1.18,1.37,0.19,16.1
LECO,2021-04-27,2021-03,1.18,1.37,0.19,16.1
DVA,2021-04-29,2021-03,1.8,2.09,0.29,16.11
LDOS,2021-05-04,2021-03,1.49,1.73,0.24,16.11
MTD,2021-05-06,2021-03,5.65,6.56,0.91,16.11
COMM,2021-05-06,2021-03,0.31,0.36,0.05,16.13
OTIS,2021-04-26,2021-03,0.62,0.72,0.1,16.13
CW,2021-05-05,2021-03,1.3,1.51,0.21,16.15
ST,2021-04-27,2021-03,0.74,0.86,0.12,16.22
FRC,2021-04-14,2021-03,1.54,1.79,0.25,16.23
SNA,2021-04-22,2021-03,3.01,3.5,0.49,16.28
PINC,2021-05-04,2021-03,0.55,0.64,0.09,16.36
RH,2021-06-09,2021-04,4.2,4.89,0.69,16.43
TDY,2021-04-28,2021-03,2.59,3.02,0.43,16.6
CSGP,2021-04-27,2021-03,0.24,0.28,0.04,16.67
DBX,2021-05-06,2021-03,0.3,0.35,0.05,16.67
OMC,2021-04-20,2021-03,1.14,1.33,0.19,16.67
PNFP,2021-04-19,2021-03,1.38,1.61,0.23,16.67
SIRI,2021-04-28,2021-03,0.06,0.07,0.01,16.67
VEEV,2021-05-27,2021-04,0.78,0.91,0.13,16.67
CMI,2021-05-04,2021-03,3.46,4.04,0.58,16.76
K,2021-05-06,2021-03,0.95,1.11,0.16,16.84
EVRG,2021-05-06,2021-03,0.47,0.55,0.08,17.02
MMC,2021-04-27,2021-03,1.7,1.99,0.29,17.06
EWBC,2021-04-22,2021-03,1.23,1.44,0.21,17.07
SAGE,2021-05-04,2021-03,-1.98,-1.64,0.34,17.17
AI,2021-06-02,2021-04,-0.29,-0.24,0.05,17.24
MOH,2021-04-28,2021-03,3.78,4.44,0.66,17.46
TFX,2021-04-29,2021-03,2.44,2.87,0.43,17.62
ALLE,2021-04-22,2021-03,1.02,1.2,0.18,17.65
NUAN,2021-05-10,2021-03,0.17,0.2,0.03,17.65
PFE,2021-05-04,2021-03,0.79,0.93,0.14,17.72
TSLA,2021-04-26,2021-03,0.79,0.93,0.14,17.72
PSX,2021-04-30,2021-03,-1.41,-1.16,0.25,17.73
IQV,2021-04-22,2021-03,1.85,2.18,0.33,17.84
TRMB,2021-05-05,2021-03,0.56,0.66,0.1,17.86
CTVA,2021-05-04,2021-03,0.67,0.79,0.12,17.91
MKSI,2021-04-26,2021-03,2.17,2.56,0.39,17.97
ACGL,2021-04-27,2021-03,0.5,0.59,0.09,18
CNP,2021-05-06,2021-03,0.5,0.59,0.09,18
PXD,2021-05-04,2021-03,1.5,1.77,0.27,18
AMD,2021-04-27,2021-03,0.44,0.52,0.08,18.18
DD,2021-05-04,2021-03,0.77,0.91,0.14,18.18
A,2021-05-25,2021-04,0.82,0.97,0.15,18.29
KNX,2021-04-21,2021-03,0.7,0.83,0.13,18.57
CVS,2021-05-04,2021-03,1.72,2.04,0.32,18.6
X,2021-04-29,2021-03,0.91,1.08,0.17,18.68
AGNC,2021-04-26,2021-03,0.64,0.76,0.12,18.75
BAX,2021-04-29,2021-03,0.64,0.76,0.12,18.75
ALSN,2021-04-28,2021-03,0.9,1.07,0.17,18.89
PPG,2021-04-15,2021-03,1.58,1.88,0.3,18.99
AXTA,2021-04-26,2021-03,0.42,0.5,0.08,19.05
ETSY,2021-05-05,2021-03,0.84,1,0.16,19.05
EXP,2021-05-19,2021-03,1.31,1.56,0.25,19.08
WDAY,2021-05-26,2021-04,0.73,0.87,0.14,19.18
SBUX,2021-04-27,2021-03,0.52,0.62,0.1,19.23
DISH,2021-04-29,2021-03,0.83,0.99,0.16,19.28
TECH,2021-05-06,2021-03,1.5,1.79,0.29,19.33
AVY,2021-04-28,2021-03,2.01,2.4,0.39,19.4
LPLA,2021-04-29,2021-03,1.48,1.77,0.29,19.59
EXPE,2021-05-06,2021-03,-2.52,-2.02,0.5,19.84
TXN,2021-04-27,2021-03,1.56,1.87,0.31,19.87
WLK,2021-05-04,2021-03,1.56,1.87,0.31,19.87
NOC,2021-04-29,2021-03,5.48,6.57,1.09,19.89
ACI,2021-04-26,2021-02,0.5,0.6,0.1,20
JNPR,2021-04-27,2021-03,0.25,0.3,0.05,20
KHC,2021-04-29,2021-03,0.6,0.72,0.12,20
LYB,2021-04-30,2021-03,2.65,3.18,0.53,20
NKE,2021-03-18,2021-02,0.75,0.9,0.15,20
