ticker,date,period_ending,estimate,reported,surprise,surprise%
HLF,2021-05-04,2021-03,1.06,1.42,0.36,33.96
GRMN,2021-04-28,2021-03,0.88,1.18,0.3,34.09
CVNA,2021-05-06,2021-03,-0.7,-0.46,0.24,34.29
MANH,2021-04-27,2021-03,0.32,0.43,0.11,34.38
UNVR,2021-05-07,2021-03,0.32,0.43,0.11,34.38
ISRG,2021-04-20,2021-03,0.87,1.17,0.3,34.48
SCI,2021-05-03,2021-03,0.98,1.32,0.34,34.69
FITB,2021-04-20,2021-03,0.69,0.93,0.24,34.78
MAS,2021-04-28,2021-03,0.66,0.89,0.23,34.85
BRKS,2021-05-10,2021-03,0.51,0.69,0.18,35.29
SMAR,2021-06-02,2021-04,-0.14,-0.09,0.05,35.71
BLDR,2021-05-06,2021-03,0.81,1.1,0.29,35.8
DLB,2021-05-04,2021-03,0.67,0.91,0.24,35.82
ZM,2021-06-01,2021-04,0.97,1.32,0.35,36.08
DRI,2021-03-25,2021-02,0.72,0.98,0.26,36.11
GMED,2021-05-04,2021-03,0.36,0.49,0.13,36.11
CPRT,2021-05-19,2021-04,0.8,1.09,0.29,36.25
ENPH,2021-04-27,2021-03,0.41,0.56,0.15,36.59
IDXX,2021-05-04,2021-03,1.72,2.35,0.63,36.63
AFG,2021-05-04,2021-03,1.74,2.38,0.64,36.78
DELL,2021-05-27,2021-04,1.55,2.13,0.58,37.42
BRKR,2021-05-05,2021-03,0.32,0.44,0.12,37.5
CRM,2021-05-27,2021-04,0.88,1.21,0.33,37.5
HXL,2021-04-19,2021-03,-0.16,-0.1,0.06,37.5
APTV,2021-05-06,2021-03,0.77,1.06,0.29,37.66
FHN,2021-04-21,2021-03,0.37,0.51,0.14,37.84
WMT,2021-05-18,2021-04,1.22,1.69,0.47,38.52
ILMN,2021-04-27,2021-03,1.36,1.89,0.53,38.97
ADM,2021-04-27,2021-03,1,1.39,0.39,39
LFUS,2021-04-28,2021-03,1.92,2.67,0.75,39.06
MRNA,2021-05-06,2021-03,2.04,2.84,0.8,39.22
ALB,2021-05-05,2021-03,0.79,1.1,0.31,39.24
THO,2021-06-08,2021-04,2.36,3.29,0.93,39.41
FB,2021-04-28,2021-03,2.36,3.3,0.94,39.83
AAPL,2021-04-28,2021-03,1,1.4,0.4,40
FLS,2021-05-03,2021-03,0.2,0.28,0.08,40
CACC,2021-04-29,2021-03,8.44,11.82,3.38,40.05
GH,2021-05-06,2021-03,-0.82,-0.49,0.33,40.24
WBS,2021-04-19,2021-03,0.89,1.25,0.36,40.45
PACW,2021-04-20,2021-03,0.9,1.27,0.37,41.11
FWONK,2021-05-07,2021-03,-0.34,-0.2,0.14,41.18
NEWR,2021-05-13,2021-03,-0.46,-0.27,0.19,41.3
RE,2021-04-28,2021-03,4.59,6.49,1.9,41.39
C,2021-04-15,2021-03,2.56,3.62,1.06,41.41
ZEN,2021-04-29,2021-03,0.12,0.17,0.05,41.67
TJX,2021-05-19,2021-04,0.31,0.44,0.13,41.94
NXST,2021-05-04,2021-03,3.11,4.42,1.31,42.12
